repo,path,bucket,bytes,lines,tokens_4,tokens_35
pi,packages/coding-agent/examples/extensions/question.ts,source,8463,285,2111,2412
pi,packages/coding-agent/examples/extensions/questionnaire.ts,source,13565,448,3380,3863
pi,packages/coding-agent/examples/extensions/rainbow-editor.ts,source,2386,88,594,678
pi,packages/coding-agent/examples/extensions/reload-runtime.ts,source,1155,37,289,330
pi,packages/coding-agent/examples/extensions/rpc-demo.ts,source,3632,118,908,1038
pi,packages/coding-agent/examples/extensions/sandbox/.gitignore,config,13,1,3,4
pi,packages/coding-agent/examples/extensions/sandbox/index.ts,source,8983,321,2245,2566
pi,packages/coding-agent/examples/extensions/sandbox/package-lock.json,config,3116,92,779,890
pi,packages/coding-agent/examples/extensions/sandbox/package.json,config,343,19,86,98
pi,packages/coding-agent/examples/extensions/send-user-message.ts,source,2832,97,708,809
pi,packages/coding-agent/examples/extensions/session-name.ts,source,785,27,196,224
pi,packages/coding-agent/examples/extensions/shutdown-command.ts,source,2045,63,511,584
pi,packages/coding-agent/examples/extensions/snake.ts,source,9421,343,2342,2676
pi,packages/coding-agent/examples/extensions/space-invaders.ts,source,15174,560,3775,4314
pi,packages/coding-agent/examples/extensions/ssh.ts,source,7293,220,1823,2084
pi,packages/coding-agent/examples/extensions/status-line.ts,source,937,32,233,267
pi,packages/coding-agent/examples/extensions/structured-output.ts,source,2187,65,547,625
pi,packages/coding-agent/examples/extensions/subagent/README.md,docs,6111,175,1501,1716
pi,packages/coding-agent/examples/extensions/subagent/agents.ts,source,3363,126,841,961
pi,packages/coding-agent/examples/extensions/subagent/agents/planner.md,docs,896,37,224,256
pi,packages/coding-agent/examples/extensions/subagent/agents/reviewer.md,docs,933,35,233,267
pi,packages/coding-agent/examples/extensions/subagent/agents/scout.md,docs,1255,50,314,359
pi,packages/coding-agent/examples/extensions/subagent/agents/worker.md,docs,664,24,166,190
pi,packages/coding-agent/examples/extensions/subagent/index.ts,source,35092,1015,8750,10000
pi,packages/coding-agent/examples/extensions/subagent/prompts/implement-and-review.md,docs,494,10,124,141
pi,packages/coding-agent/examples/extensions/subagent/prompts/implement.md,docs,579,10,145,165
